is_testdata,Material Composition,EnergyAboveHull (meV/atom),Coeficient of Thermal Expansion (10^-6 K-1)_AB_avg,Asite_HHIp_min,host_Bsite0_IsFCC,Asite_HHIp_weighted_avg, BP (K)_AB_avg,Asite_Coeficient of Thermal Expansion (10^-6 K-1)_max,host_Bsite0_Group,Asite_Ionic Radius (angstroms)_range,Bsite_IsFCC_weighted_avg,MendeleevNumber_AB_avg,Asite_HHIr_min,Bsite_NUnfilled_weighted_avg,BCCenergy_pa_AB_avg,Bsite_Electro-  negativity_max,Asite_electrical conductivity_max,Asite_Coeficient of Thermal Expansion (10^-6 K-1)_weighted_avg,host_Bsite0_NUnfilled,Bsite_NUnfilled_min,Asite_GSenergy_pa_max,host_Bsite0_NdUnfilled,Heat of Vaporization_AB_avg,Asite_ BP (K)_weighted_avg,Bsite_Group_max,Second Ionization Potential  (V)_AB_avg,At. Radius   (angstroms)_AB_avg,Asite_shannon_radii_range,Asite_BCCenergydiff_min,Asite_HHIr_weighted_avg,Bsite_Group_weighted_avg,Asite_ BP (K)_max,host_Bsite0_At. Radius   (angstroms),num_of_atoms_host_Asite0,Bsite_IsBCC_weighted_avg,HHIp_AB_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NdValence_weighted_avg,BCCfermi_AB_ratio,Asite_NUnfilled_max,Bsite_Heat of Vaporization_weighted_avg,Asite_BCCenergy_pa_max,Asite_BCCvolume_pa_range,MendeleevNumber_AB_ratio,num_of_atoms_host_Bsite0,host_Bsite0_NdValence,Bsite_BCCvolume_pa_max,Bsite_IsFCC_max,Asite_IsRareEarth_max,BCCenergydiff_AB_diff,Asite_heat of fusion_min,GSenergy_pa_AB_avg,Bsite_BCCfermi_weighted_avg,Atomic Radius (Å)_AB_avg,Bsite_Most stable oxidation State_range,Asite_Ionic Radius (angstroms)_min,Asite_MendeleevNumber_min,BCCfermi_AB_avg,num_of_atoms_host_Asite0,Electron Affinity (kJ/mol)_AB_avg,heat of fusion_AB_diff,Bsite_thermal conductivity_max,Bsite_Coeficient of Thermal Expansion (10^-6 K-1)_weighted_avg,Asite_electrical conductivity_weighted_avg,First Ionization Potential (V)_AB_avg,Asite_ICSDVolume_range,Electro-  negativity_AB_diff,Bsite_NdValence_max,host_Bsite0_BCCenergy_pa,num_of_atoms_host_Bsite0,Asite_NUnfilled_weighted_avg,Asite_thermal conductivity_max
0,Ba2Pr6Ga8O24,155.4650781,14.45,300,0,787.5,2918.125,20.6,13,0.29,0,44.5,230,5,-3.472838103,1.81,2.8,9.2,5,5,-1.92352226,0,270.29125,3358.25,13,15.462125,2.25125,0.41,0,290,13,3785,1.81,6,0,668.75,0,10,0.783301393,11,256.06,-1.92352226,27.7,0.202702703,8,10,17.94,0,1,0.030051524,8.01,-3.536754169,3.94985673,1.668,0,1.13,9,3.521892504,6,26.75,1.97125,40.6,19.7,1.825,5.6985,28.3,-0.37,10,-2.97839076,8,8.25,18.4
0,Ba2Pr6Mn8O24,51.30901636,15.45,300,0,787.5,2796.625,20.6,7,0.29,0,33.5,230,5,-6.418848103,1.55,2.8,9.2,5,5,-1.92352226,5,252.13125,3358.25,7,13.027125,2.24125,0.41,0,290,7,3785,1.79,6,1,473.75,5,5,0.408442467,11,219.74,-1.92352226,27.7,0.288461538,8,5,10.51,0,1,-0.02809345,8.01,-6.540909143,7.57494268,1.583,0,1.13,9,5.334435479,6,12.25,-2.55375,7.82,21.7,1.825,6.4165,28.3,-0.24,5,-8.87041076,8,8.25,18.4
0,Ba2Pr6Ni8O24,162.8921755,11.3,300,1,787.5,3181.625,20.6,10,0.29,1,38,230,2,-4.703212243,1.91,2.8,9.2,2,2,-1.92352226,2,331.01125,3358.25,10,14.291125,2.15625,0.41,0,290,10,3785,1.62,6,0,443.75,2,8,0.607153504,11,377.5,-1.92352226,27.7,0.245901639,8,8,10.33,1,1,-0.00660897,8.01,-4.803788803,5.09579251,1.586,0,1.13,9,4.094860394,6,67.75,-3.83375,90.7,13.4,1.825,6.5165,28.3,-0.42,8,-5.43913904,8,8.25,18.4
0,Ba2Pr6Sc8O24,65.98496318,9.6,300,0,787.5,3233.625,20.6,3,0.29,0,13,230,9,-5.069688303,1.36,2.8,9.2,9,9,-1.92352226,9,294.66125,3358.25,3,11.607125,2.39125,0.41,0,290,3,3785,2.09,6,0,668.75,9,1,0.694983502,11,304.8,-1.92352226,27.7,1.363636364,8,1,22.2,0,1,-0.00972717,8.01,-5.173383063,4.45180104,1.766,0,1.13,9,3.772864659,6,21.3,-3.28875,15.8,10,1.825,5.969,28.3,-0.145,1,-6.17209116,8,8.25,18.4
0,Ba2Pr6Ti8O24,10.17451175,8.9,300,0,787.5,3459.125,20.6,4,0.29,0,29,230,8,-5.814276778,1.54,2.8,9.2,8,8,-1.92352226,8,354.86125,3358.25,4,11.997125,2.34625,0.41,0,290,4,3785,2,6,0,448.75,8,2,1.039573708,11,425.2,-1.92352226,27.7,0.348837209,8,2,16.84,0,1,-0.00999571,8.01,-5.918240078,2.97615095,1.687,0,1.13,9,3.035039614,6,22.25,-4.53375,21.9,8.6,1.825,6.109,28.3,-0.235,2,-7.66126811,8,8.25,18.4
0,Ba2Pr6V8O24,18.9735033,8.8,300,0,787.5,3504.125,20.6,5,0.29,0,30.5,230,7,-6.453273068,1.63,2.8,9.2,7,7,-1.92352226,7,365.61125,3358.25,5,12.532125,2.30625,0.41,0,290,5,3785,1.92,6,1,558.75,7,3,0.479305615,11,446.7,-1.92352226,27.7,0.326086957,8,3,13.01,0,1,0.046983795,8.01,-6.500256863,6.45502198,1.6235,0,1.13,9,4.774475129,6,37.25,-6.63375,30.7,8.4,1.825,6.069,28.3,-0.28,3,-8.93926069,8,8.25,18.4
0,Ba2Sm6Fe8O24,178.2357388,8.475,300,0,787.5,2546.375,20.6,8,0.34,0,37.25,230,4,-6.09814795,1.83,2.8,5.15,4,4,-1.92352226,4,264.13625,2069.75,8,13.491375,2.17625,0.37,0,290,8,2078,1.72,6,1,513.75,4,6,0.440607502,8,349.5,-1.92352226,30.02,0.354545455,8,6,10.73,0,1,0.052551876,8.01,-6.150699826,6.45149343,1.57375,0,1.08,9,4.647034918,6,24.25,-1.74,80.2,11.8,1.525,6.7015,29.7,-0.365,6,-8.28548436,8,6,18.4
0,Ba2Sn2Pr4Ni8O24,276.3402685,13.375,260,1,615,3068,22,10,0.71,1,45.875,160,2,-4.609010443,1.91,8.7,13.35,2,2,-1.92352226,2,325.72875,3131,10,14.80125,2.0375,0.8,0,252.5,10,3785,1.62,4,0,357.5,2,8,0.874949098,11,377.5,-1.92352226,38.36,0.504098361,8,8,10.33,1,1,-0.014005029,7.2,-4.702190944,5.09579251,1.56,0,0.71,9,4.777175786,4,76.625,-4.18875,90.7,13.4,3.625,6.752,35.8,-0.31625,8,-5.43913904,8,6.5,66.6
0,Ba2Sr6Co8O24,106.7457587,17.5125,300,0,390,2451.875,22.5,9,0.16,0,33.125,230,3,-4.359711034,1.88,5,22.025,3,3,-1.6828136,3,255.5125,1760.75,9,13.91675,2.09875,0.17,0,282.5,9,2078,1.67,6,0,196.55,3,7,0.274059225,0,373.3,-1.67793991,10.68,0.142241379,8,7,10.44,0,0,-0.048323654,8.01,-4.411689955,6.14041474,1.71025,0,1.26,8,3.911626023,6,-34.5,-4.01875,100,13,4.45,6.717125,6.8,-0.4725,7,-6.98008657,8,0,18.4
0,Ba2Sr6Fe4Co4O24,109.488956,17.2125,300,0,390,2421.875,22.5,8,0.16,0,32.375,230,3.5,-4.686060481,1.88,5,22.025,4,3,-1.6828136,4,249.5625,1760.75,9,13.69675,2.11125,0.17,0,282.5,8.5,2078,1.72,6,0.5,255.775,3.5,6.5,0.267288688,0,361.4,-1.67793991,10.68,0.146017699,4,6,10.73,0,0,-0.02324801,8.01,-4.712963759,6.295954085,1.70725,1,1.26,8,3.989395695,6,-46,-3.42125,100,12.4,4.45,6.719625,6.8,-0.46,7,-8.28548436,4,0,18.4
0,Ba2Sr6Fe4Ni4O24,183.2712842,17.3125,300,0,390,2387.375,22.5,8,0.16,0.5,33.125,230,3,-4.300823599,1.91,5,22.025,4,2,-1.6828136,4,250.6125,1760.75,10,13.97375,2.09875,0.17,0,282.5,9,2078,1.72,6,0.5,280,3,7,0.29146889,0,363.5,-1.67793991,10.68,0.142241379,4,6,10.73,1,0,-0.024968749,8.01,-4.329447615,5.77364297,1.7055,1,1.26,8,3.728240138,6,-35.75,-3.67375,90.7,12.6,4.45,6.663375,6.8,-0.4675,8,-8.28548436,4,0,18.4
0,Ba2Sr6Fe6Co2O24,105.7221796,17.0625,300,0,390,2406.875,22.5,8,0.16,0,32,230,3.75,-4.849235205,1.88,5,22.025,4,3,-1.6828136,4,246.5875,1760.75,9,13.58675,2.1175,0.17,0,282.5,8.25,2078,1.72,6,0.75,285.3875,3.75,6.25,0.264027336,0,355.45,-1.67793991,10.68,0.147982063,6,6,10.73,0,0,-0.010710188,8.01,-4.863600661,6.373723758,1.70575,1,1.26,8,4.028280531,6,-51.75,-3.1225,100,12.1,4.45,6.720875,6.8,-0.45375,7,-8.28548436,6,0,18.4
0,Ba2Sr6Fe6Ni2O24,135.9544601,17.1125,300,0,390,2389.625,22.5,8,0.16,0.25,32.375,230,3.5,-4.656616764,1.91,5,22.025,4,2,-1.6828136,4,247.1125,1760.75,10,13.72525,2.11125,0.17,0,282.5,8.5,2078,1.72,6,0.75,297.5,3.5,6.5,0.275307735,0,356.5,-1.67793991,10.68,0.146017699,6,6,10.73,1,0,-0.011570558,8.01,-4.671842589,6.1125682,1.704875,1,1.26,8,3.897702753,6,-46.625,-3.24875,90.7,12.2,4.45,6.69275,6.8,-0.4575,8,-8.28548436,6,0,18.4
0,Ba2Sr6Fe7Co1O24,113.0606437,16.9875,300,0,390,2399.375,22.5,8,0.16,0,31.8125,230,3.875,-4.930822567,1.88,5,22.025,4,3,-1.6828136,4,245.1,1760.75,9,13.53175,2.120625,0.17,0,282.5,8.125,2078,1.72,6,0.875,300.19375,3.875,6.125,0.262426325,0,352.475,-1.67793991,10.68,0.148984199,7,6,10.73,0,0,-0.004441277,8.01,-4.938919112,6.412608594,1.705,1,1.26,8,4.047722949,6,-54.625,-2.973125,100,11.95,4.45,6.7215,6.8,-0.450625,7,-8.28548436,7,0,18.4
0,Ba2Sr6Fe7Ni1O24,110.2858358,17.0125,300,0,390,2390.75,22.5,8,0.16,0.125,32,230,3.75,-4.834513346,1.91,5,22.025,4,2,-1.6828136,4,245.3625,1760.75,10,13.601,2.1175,0.17,0,282.5,8.25,2078,1.72,6,0.875,306.25,3.75,6.25,0.267881097,0,353,-1.67793991,10.68,0.147982063,7,6,10.73,1,0,-0.004871462,8.01,-4.843040076,6.282030815,1.7045625,1,1.26,8,3.98243406,6,-52.0625,-3.03625,90.7,12,4.45,6.7074375,6.8,-0.4525,8,-8.28548436,7,0,18.4
0,Ba2Sr6Fe8O24,89.50296147,16.9125,300,0,390,2391.875,22.5,8,0.16,0,31.625,230,4,-5.012409929,1.83,5,22.025,4,4,-1.6828136,4,243.6125,1760.75,8,13.47675,2.12375,0.17,0,282.5,8,2078,1.72,6,1,315,4,6,0.260844613,0,349.5,-1.67793991,10.68,0.15,8,6,10.73,0,0,0.001827634,8.01,-5.014237563,6.45149343,1.70425,0,1.26,8,4.067165368,6,-57.5,-2.82375,80.2,11.8,4.45,6.722125,6.8,-0.4475,6,-8.28548436,8,0,18.4
0,Ba2Sr6Mn1Fe7O24,102.7754203,17.53125,300,0,390,2342.625,22.5,8,0.16,0,31.4375,230,4.125,-5.048967829,1.83,5,22.025,4,4,-1.6828136,4,235.5025,1760.75,8,13.443,2.128125,0.17,0,282.5,7.875,2078,1.72,6,1,310,4.125,5.875,0.255287706,0,333.28,-1.67793991,10.68,0.151029748,7,6,10.73,0,0,-0.007557022,8.01,-5.060180118,6.591924586,1.7041875,1,1.26,8,4.137380946,6,-59,-2.87625,80.2,13.0375,4.45,6.6949375,6.8,-0.43,6,-8.28548436,7,0,18.4
0,Ba2Sr6Mn2Fe6O24,96.03603838,18.15,300,0,390,2293.375,22.5,8,0.16,0,31.25,230,4.25,-5.085525729,1.83,5,22.025,4,4,-1.6828136,4,227.3925,1760.75,8,13.40925,2.1325,0.17,0,282.5,7.75,2078,1.72,6,1,305,4.25,5.75,0.249962624,0,317.06,-1.67793991,10.68,0.152073733,6,6,10.73,0,0,-0.016941678,8.01,-5.106122674,6.732355743,1.704125,1,1.26,8,4.207596524,6,-60.5,-2.92875,80.2,14.275,4.45,6.66775,6.8,-0.4125,6,-8.28548436,6,0,18.4
0,Ba2Sr6Mn4Fe4O24,86.69975106,19.3875,300,0,390,2194.875,22.5,7,0.16,0,30.875,230,4.5,-5.158641529,1.83,5,22.025,5,4,-1.6828136,5,211.1725,1760.75,8,13.34175,2.14125,0.17,0,282.5,7.5,2078,1.79,6,1,295,4.5,5.5,0.239952229,0,284.62,-1.67793991,10.68,0.154205607,4,5,10.73,0,0,-0.035710989,8.01,-5.198007785,7.013218055,1.704,1,1.26,8,4.34802768,6,-63.5,-3.03375,80.2,16.75,4.45,6.613375,6.8,-0.3775,6,-8.87041076,4,0,18.4
0,Ba2Sr6Mn8O24,113.8862036,21.8625,300,0,390,1997.875,22.5,7,0.16,0,30.125,230,5,-5.304873129,1.55,5,22.025,5,5,-1.6828136,5,178.7325,1760.75,7,13.20675,2.15875,0.17,0,282.5,7,2078,1.79,6,1,275,5,5,0.222158421,0,219.74,-1.67793991,10.68,0.158653846,8,5,10.51,0,0,-0.073249611,8.01,-5.381778008,7.57494268,1.70375,0,1.26,8,4.628889993,6,-69.5,-3.24375,7.82,21.7,4.45,6.504625,6.8,-0.3075,5,-8.87041076,8,0,18.4
0,Ba2Sr6Ni8O24,258.8280509,17.7125,300,1,390,2382.875,22.5,10,0.16,1,34.625,230,2,-3.589237269,1.91,5,22.025,2,2,-1.6828136,2,257.6125,1760.75,10,14.47075,2.07375,0.17,0,282.5,10,2078,1.62,6,0,245,2,8,0.330240547,0,377.5,-1.67793991,10.68,0.135245902,8,8,10.33,1,0,-0.051765131,8.01,-3.644657668,5.09579251,1.70675,0,1.26,8,3.389314908,6,-14,-4.52375,90.7,13.4,4.45,6.604625,6.8,-0.4875,8,-5.43913904,8,0,18.4
